Label,No,X,Y,,,Z,FL,W%(C ) ,W%(Cr) ,W%(Mn) ,W%(Fe) ,W%(Ni) ,C_at,Cr_at,Mn_at,Fe_at,Ni_at
interf2/1_30,30,12241,-1746,44,40,94,40.01242708,0.3135,22.7197,0.5665,30.1528,43.7613,1.484,24.8457,0.5863,30.7005,42.3835
interf2/1_29,29,12240,-1742,40,36,94,35.99340364,0.3611,21.9928,0.5562,31.9477,43.0934,1.6991,23.9072,0.5723,32.3339,41.4875
interf2/1_28,28,12240,-1737,35,31,94,30.9940812,0.457,20.4606,0.6246,36.9004,39.5026,2.1418,22.1504,0.64,37.1933,37.8745
interf2/1_27,27,12240,-1733,31,27,94,26.99466565,0.5186,19.4637,0.7095,39.2337,37.6569,2.4332,21.0968,0.7278,39.5933,36.1488
interf2/1_26,26,12240,-1729,27,23,94,22.99529222,0.6647,19.6774,0.8028,38.8742,37.4431,3.1049,21.234,0.8199,39.0568,35.7844
interf2/1_25,25,12240,-1724,22,18,94,17.99614191,0.6282,17.6427,0.7796,44.9024,34.0304,2.923,18.9615,0.793,44.931,32.3915
interf2/1_24,24,12240,-1720,18,14,94,13.99688162,0.5646,16.113,0.7574,49.011,31.6367,2.6303,17.3399,0.7714,49.106,30.1523
interf2/1_23,23,12240,-1715,13,9,94,8.997892027,0.5326,15.4899,0.6845,50.4437,31.2678,2.4765,16.6378,0.6959,50.4456,29.7441
interf2/1_22,22,12240,-1711,9,5,94,4.998778552,0.3807,10.938,0.8372,64.5198,21.7027,1.7786,11.8032,0.8551,64.8221,20.7411
interf2/1_21,21,12240,-1706,4,0,94,0,0,0.754,1.4051,95.297,0.7761,0,0.8241,1.4534,96.9713,0.7512
interf2/1_20,20,12240,-1702,0,-4,94,-3.998918188,0,0.4756,1.4205,96.0448,0.7542,0,0.5174,1.4627,97.293,0.7268
interf2/1_19,19,12240,-1698,-4,-8,94,-7.997728244,0,0.3601,1.4159,96.0187,0.7376,0,0.3925,1.4606,97.4349,0.712
interf2/1_18,18,12239,-1693,-9,-13,94,-13.01605797,0,0.2687,1.3718,96.112,0.66,0,0.2932,1.4168,97.652,0.6379
interf2/1_17,17,12239,-1689,-13,-17,94,-17.01568243,0,0.2522,1.3823,95.1465,0.685,0,0.2779,1.4415,97.612,0.6685
interf2/1_16,16,12239,-1684,-18,-22,94,-22.01514902,0,0.1959,1.4277,95.4092,0.6844,0,0.2153,1.4851,97.6333,0.6662
interf2/1_15,15,12239,-1680,-22,-26,94,-26.01466035,0,0.1805,1.3664,95.3072,0.7181,0,0.1987,1.4236,97.6775,0.7001
interf2/1_14,14,12239,-1675,-27,-31,94,-31.01395308,0,0.1944,1.379,95.0306,0.6932,0,0.2146,1.4407,97.6669,0.6777
interf2/1_13,13,12239,-1671,-31,-35,94,-35.01329122,0,0.1864,1.3522,95.6579,0.6174,0,0.2047,1.4052,97.7897,0.6004
interf2/1_12,12,12239,-1667,-35,-39,94,-39.01252132,0,0.1909,1.3804,95.4161,0.6655,0,0.21,1.4369,97.7049,0.6482
interf2/1_11,11,12239,-1662,-40,-44,94,-44.01136217,0.0332,0.1868,1.4377,95.3372,0.6929,0.1578,0.2052,1.4941,97.4691,0.6738
interf2/1_10,10,12239,-1658,-44,-48,94,-48.01022629,0.0396,0.1727,1.4748,94.8777,0.706,0.1888,0.1904,1.5389,97.3924,0.6894
interf2/1_9,9,12239,-1653,-49,-53,94,-53.00844154,0.0079,0.1753,1.4,95.4122,0.6749,0.0377,0.1927,1.4566,97.6558,0.6571
interf2/1_8,8,12239,-1649,-53,-57,94,-57.0065995,0,0.1712,1.4053,95.1161,0.6979,0,0.1888,1.4668,97.6627,0.6817
interf2/1_7,7,12239,-1645,-57,-61,94,-61.00421217,0,0.1506,1.381,94.9015,0.7049,0,0.1665,1.4452,97.698,0.6903
interf2/1_6,6,12238,-1640,-62,-66,94,-66.02272434,0.0002,0.1871,1.3932,95.6143,0.6619,0.0011,0.2054,1.4472,97.703,0.6434
interf2/1_5,5,12238,-1636,-66,-70,94,-70.02272434,0,0.1733,1.407,95.5195,0.6458,0,0.1904,1.4632,97.7179,0.6285
interf2/1_4,4,12238,-1631,-71,-75,94,-75.02272434,0.0495,0.179,1.4155,95.6668,0.6935,0.2346,0.1958,1.4655,97.4323,0.6718
interf2/1_3,3,12238,-1627,-75,-79,94,-79.02272434,0.0178,0.1705,1.4497,95.1861,0.7265,0.085,0.1875,1.5097,97.5099,0.7079
interf2/1_2,2,12238,-1622,-80,-84,94,-84.02272434,0.0325,0.1761,1.4567,94.8205,0.6748,0.1553,0.1944,1.5221,97.4683,0.6599
interf2/1_1,1,12238,-1618,-84,-88,94,-88.02272434,0.0386,0.1608,1.3909,94.6108,0.6717,0.1849,0.178,1.4574,97.5211,0.6586
